,TYPE,PROGRAM,ORG PHONE,DISTADD,DIS,DBIOSRTOZI,DAYS,HOURS
372,FP,RESURRECTION AND LIFE PENTECOSTAL CHURCH,718-617-2399,870 EAST 163RD STREET,The Bronx,10459,TUE/SAT/SUN,12-1PM/10A-2P/1-2PM
373,FP,RHOW BROOKLYN INC,(718) 875-1858,360 SCHERMERHORN STREET,Brooklyn,11217,"SAT (2,3,4)",9-10:30AM
374,SK,RHOW BROOKLYN INC,718-875-1858,360 SCHERMERHORN STREET,Brooklyn,11217,"M,TUE,FRI",9-10AM
375,FP,"RIDGEWOOD OLDER ADULT CENTER & SERVICES, INC",(718) 456-2000,59-14 70TH AVE,Queens,11385,"TUE(SR ONLY),WED,T",U1R0:30AM-12:30PM
376,FP,RIVER FUND,(718) 441-1125,89-11 LEFFERTS BLVD (RICHMOND HILL),Queens,11418,SAT,8-11AM
377,FPM,RIVER FUND MOBILE - BROOKLYN,718-441-1125,CORNER OF LINDEN BLVD & CRESCENT STREET,Brooklyn,11208,"TUE (2ND,4TH)",9-11AM
378,FP,RIVERStaten IslandDE CHURCH FOOD PANTRY,212-870-6760,91 CLAREMONT AVE @ 120TH STREET,New York,10027,TUE-FRI,9AM-1PM
379,FP,RUSH TEMPLE A.M.E. CHURCH,(718) 529-5719,119-48 SUTPHIN BOULEVARD,Queens,11434,TUE,9-10AM
380,SK,RUSH TEMPLE A.M.E. ZION CHURCH,(718) 529-5719,119-48 SUTPHIN BOULEVARD,Queens,11434,WED,12-1:30PM
381,FP,SAINT TERESA CHURCH - SAINT VINCENT DePAUL SOCIETY,(718) 784-2123,50-20 45TH STREET (WOODStaten IslandDE),Queens,11377,TUE,5:30-6:30PM
382,FP,SALEM UNITED METHODIST CHURCH,212-678-2700,2190 ADAM CLAYTON POWELL JR. BLVD,New York,10027,FRI,11AM-1PM
383,SK,SALEM UNITED METHODIST CHURCH,212-678-2700,2190 ADAM CLAYTON POWELL JR BLVD,New York,10027,WED,12:30-3PM
384,FP,SALT & SEA MISStaten IslandON CHURCH INC.,718-473-7979,2417-2419 STILLWELL AVE,Brooklyn,11223,"TUE, THUR",12-2PM
385,FP,"SANCTIFIED CHURCH OF GOD, INC/COMMUNITY FEEDING P",7O1G8-R49A3M-2385,404 LEFFERTS AVE,Brooklyn,11225,SAT,12-1PM
386,FP,SECOND CHANCE AGAPE WORSHIP CENTER,917-416-3697,200-12 HOLLIS AVENUE,Queens,11412,THUR,12-2PM
387,FP,"SECOND ST. PAUL CHURCH OF CHRIST, DISCIPLE OF CHRI","T7,1 I8N-2C35-8922",1048 SUTTER AVE,Brooklyn,11208,"SAT(2,4)",8-10AM
388,FPK,SEPHARDIC BIKUR HOLIM FOOD PANTRY,718-787-1100,425 KINGS HIGHWAY,Brooklyn,11223,"M,TU,W,TH/FRI/TU,TH",9A-12:30P/9-11A/2-3:30P
389,FPK,SHALOM SENIOR CENTER,(718) 774-9213,483 ALBANew York AVE,Brooklyn,11203,MON-THUR/FRI,2-3PM/1-2PM
391,FP,SHILOH SDA,(718) 771-4103,449 EASTERN PARKWAY,Brooklyn,11216,THUR,9:30-11:30AM
392,FP,SHILOH TEMPLE PENTECOSTAL CHURCH,718-882-8909,719 EAST 223RD STREET,The Bronx,10466,TUE,9AM-1PM
393,SK,SHILOH TEMPLE PENTECOSTAL CHURCH,718-882-8909,719 EAST 223RD STREET,The Bronx,10466,THUR,12-1PM
394,FPK,SHOREFRONT JEWISH COMMUNITY COUNCIL,(718) 743-0575,128 BRIGHTON BEACH AVE - 4TH FLOOR,Brooklyn,11235,MON-THUR/FRI,9AM-5PM/9AM-2PM
395,FPK,SHOREFRONT JEWISH COMMUNITY COUNCIL,718-743-0575,3014 BRIGHTON 6TH STREET,Brooklyn,11235,THUR,9AM-5PM
396,FP,Staten IslandLOAM PRESBYTERIAN CHURCH FOOD PANTRY,(718) 789-7050,260 JEFFERSON AVENUE,Brooklyn,11216,WED,10AM-12PM
397,FP,SKYLIGHT CENTER,718-720-2585,307 ST. MARKS PLACE,Staten Island,10301,TUE,2-3PM
398,FP,SOLID ROCK BAPTIST CHURCH,(718) 384-8764,120 TOMPKINS AVE,Brooklyn,11206,"MON,THUR",9AM-12PM
399,FP,SOLID ROCK SDA CHURCH,(718) 474-9306,5205 ROCKAWAY BEACH BLVD,Queens,11691,WED,10-11AM
400,FP,SOUTH AStaten IslandAN COUNCIL FOR SOCIAL SERVICES,718-321-7929,143-06 45TH AVENUE,Queens,11355,FRI,11AM-4PM
401,FP,SOUTH BrooklynLYN SDA CHURCH COMMUNITY SERVICE PROGR,(M718) 783-1662,42 PROSPECT PLACE,Brooklyn,11217,"SUN(1,3)",11AM-2PM
402,FP,SOUTH OZONE PARK SEVENTH DAY ADVENTIST CHURCH,718-322-9210,120-12 140TH STREET,Queens,11436,"FRI(4TH), SUN (2ND)",12-2PM
403,SK,SOUTHERN BAPTIST CHURCH,(212) 663-6549,12 WEST 108TH STREET,New York,10025,WED,12-1:30PM
404,FP,"SOUTHStaten IslandDE UNITED H.D.F.C., INC - LOS SURES",718-599-1940,145 SOUTH 3RD STREET,Brooklyn,11211,TUE/WED,9AM-12PM/4-6PM
405,FP,SPANISH SDA CHURCH FOOD PANTRY,718-991-7362,1038 PROSPECT AVENUE,The Bronx,10459,THUR,8:30-11:30AM
406,FP,SPANISH SOUNDVIEW SDA CHURCH,718-842-7373,1822 LACOMBE AVENUE,The Bronx,10473,WED(2 & LAST),8AM-12:30PM
407,FP,ST. ANN'S CHURCH OF MORRISANIA,(718) 585-5632,295 ST. ANN'S AVENUE,The Bronx,10454,"WED,FRI",10:30AM-2PM
408,SK,ST. ANN'S CHURCH OF MORRISANIA,(718) 585-5632,295 ST. ANN'S AVENUE,The Bronx,10454,SUN,11:30AM-2PM
409,SK,ST. ANTHONew York'S CHURCH,(718) 931-4040,1750 MANStaten IslandON STREET,The Bronx,10460,SAT,11AM-2PM
410,FP,ST. AUGUSTINE FOOD PANTRY,718-213-4458,1168 FRANKLIN AVENUE,The Bronx,10456,MON,10:30AM-1:30PM
411,FP,ST. AUGUSTINE'S AMERICAN CATHOLIC CHURCH,(718) 773-1338,298 SCHENECTADY AVENUE,Brooklyn,11213,FRI,1-3PM
412,FP,ST. AUGUSTINE'S CHURCH,(718) 783-3132,116 6TH AVENUE,Brooklyn,11217,SAT,10AM-12PM
413,FP,ST. BRENDAN & ST. ANN PARISH,718-547-6655,268 EAST 207TH STREET,The Bronx,10467,SAT (2ND),8-9AM
414,FP,ST. CECILIA'S PARISH SERVICES,(212) 348-0488,125 EAST 105TH STREET,New York,10029,WED,9:30-11AM
415,FP,ST. CHARLES BORROMEO CHURCH,(212) 281-2100,211 WEST 141ST STREET,New York,10030,SAT,8:30-10AM
416,FP,ST. EDMUNDS YOUTH PROGRAM INC,(718) 466-9370,1905 MORRIS AVENUE,The Bronx,10453,THUR,12-2PM
417,FP,ST. EDWARD FOOD PANTRY,(718) 984-1625,6581 HYLAN BOULEVARD,Staten Island,10309,"MON,WED,SAT",10AM-1PM
418,SK,ST. IGNATIUS EPISCOPAL CHURCH,(212) 580-3326,552 WEST END AVE,New York,10024,MON/SAT,6:45-7:15PM/3:45-4:15PM
419,FP,ST. JOHN'S BREAD & LIFE FOOD PANTRY,(718) 574-0058,795 LEXINGTON AVE,Brooklyn,11221,M-THU/FRI(SR.ONLY),9-10:30AM
420,SK,ST. JOHN'S BREAD & LIFE PROGRAM,(718) 574-0058,795 LEXINGTON AVE,Brooklyn,11221,MON-FRI,8-9:3AM&10:3AM-12:3PM
421,FP,ST. JOHN'S BREAD OF LIFE,(212) 564-9070,213 WEST 30TH STREET,New York,10001,WED,12:15-2:30PM
422,FP,ST. JOSEPH OF THE HOLY FAMILY FOOD PANTRY,212-662-9125,405 WEST 125TH STREET,New York,10027,SAT,8AM-12PM
423,SK,ST. JOSEPHS SOUP KITCHEN INCORPORATED,(212) 741-1274,371 6TH AVE. & WASHINGTON PL.,New York,10014,SAT,1:30PM-3PM
424,FP,ST. LUKE BAPTIST CHURCH FOOD PANTRY,718-276-7066,133-28 232ND STREET,Queens,11413,WED,12-1PM
425,FP,ST. LUKES FOOD PANTRY,(718) 665-6677,623 EAST 138TH STREET,The Bronx,10454,FRI,10AM-12PM
426,SK,ST. LUKE'S SENIOR COMMUNITY PROGRAM,(718) 882-3060,777 EAST 222ND STREET,The Bronx,10467,MON-FRI,12-1PM
427,FP,ST. MARGARET MARY CHURCH,(718) 721-9020,9-18 27TH AVENUE,Queens,11102,"TUE, THUR, FRI",11AM-12PM
428,FP,ST. MARK AME CHURCH/THE VOICE OF HAGAR,718-205-0506,95-18 NORTHERN BLVD,Queens,11372,"TUE (1,2,3,4)",12-2:45PM
430,FP,ST. MARK THE EVANGELIST CHURCH,(212) 281-4931,65 WEST 138TH STREET,New York,10037,"SAT(1,2,3,4)",10AM-12PM
431,SK,ST. MARK'S CHURCH OF CHRIST,718-467-3719,439 RALPH AVE,Brooklyn,11233,"MON,WED,FRI",12-1PM
432,FP,ST. MARY STAR OF THE SEA,(718) 327-1133,19-20 NEW HAVEN AVENUE,Queens,11691,"TUE,FRI",1-2:30PM
433,FP,ST. MARY'S EPISCOPAL CHURCH FOOD PANTRY,212-222-3043,521 WEST 126TH STREET,New York,10027,MON,4-6PM
434,FP,ST. MATTHEW'S ROMAN CATHOLIC CHURCH,(718) 774-6747,1342 LINCOLN PLACE,Brooklyn,11213,"TUE (1,2,3,4)",9AM-12PM
435,SK,ST. MICHAEL'S CHURCH,212-222-2700,225 WEST 99TH STREET,New York,10025,SAT,10-11:45AM
436,FP,ST. NICHOLAS OF TOLENTINE CHURCH- F.P.,(718) 969-3226,150-75 GOETHALS AVENUE,Queens,11432,THUR,9AM-12PM
437,FP,ST. PATRICK'S ROMAN CATHOLIC CHURCH,718-729-6060,39-38 29TH STREET (LIC),Queens,11101,SAT (3RD),10AM-12PM
438,FP,ST. PAUL PENTECOSTAL CHURCH,917-604-9644,133 THOMAS S BOYLAND STREET,Brooklyn,11233,SAT,11AM - 1PM
439,FP,ST. PAUL'S HOUSE INC.,(212) 265-5433,335 WEST 51ST STREET,New York,10019,TUE,10-11AM
440,SK,ST. PAUL'S HOUSE INC.,(212) 265-5433,335 WEST 51ST STREET,New York,10019,"MON,WED,FRI",7:15-8:30AM
441,FP,ST. PAUL'S LUTHERAN CHURCH,(718) 822-4535,1891 McGRAW AVENUE,The Bronx,10462,FRI,8-10AM
442,SK,ST. PETER'S CHURCH BREAKFAST PROGRAM,(212) 935-2200,619 LEXINGTON AVE. @ 54TH ST.,New York,10022,TUE,7:15-8AM
443,FP,ST. PETER'S FOOD PANTRY,(212) 929-2390,346 WEST 20TH ST. NR. 9TH AVE,New York,10011,SAT,11AM-12:30PM
444,FP,ST. PETER'S LOVE PANTRY,718-931-9270,2500 WESTCHESTER AVENUE,The Bronx,10461,"TUE (1,3)",10AM-12PM
445,FP,ST. PHILIP'S CHRISTIAN CHURCH,(718) 453-0691,765 LAFAYETTE AVE,Brooklyn,11221,THUR,12-2PM
446,FP,ST. PHILIP'S EPISCOPAL/ST. BENEDICT'S PANTRY,(718) 778-8700,265 DECATUR STREET,Brooklyn,11233,WED,11AM-1PM
447,FP,ST. RAPHAEL CHURCH FOOD PANTRY,(718) 729-8957,"35-20 GREENPOINT AVE, LIC",Queens,11101,THUR/SAT,10:3A-12P/1:3-3P
448,FP,ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT COR,7O1R8-A9T3I8O-4N532,874 MYRTLE AVENUE,Brooklyn,11206,"WED,FRI",9-10:30AM
449,SK,ST. STEPHEN OUTREACH COMMUNITY DEVELOPMENT COR,7O18R-A9T3I8O-4N532,874 MYRTLE AVENUE,Brooklyn,11206,WED-FRI,11AM-1PM
450,FP,ST. TERESA OF AVILA,718-622-8728,560 STERLING PLACE,Brooklyn,11238,"THUR (1,2,3,4)",8-11AM
451,FP,ST. TERESA OF AVILA COMMUNITY SERVICES,718-529-3587,129-04 109TH AVENUE,Queens,11420,"MON,THUR",9-11AM
452,FP,ST. THERESE OF LIStaten IslandEUX R.C. CHURCH,718-451-0683,4410 AVENUE D,Brooklyn,11203,TUE,10:30AM-12:30PM
453,SK,STAPLETON U.A.M.E. CHURCH,(718) 273-2857,49 TOMPKINS AVENUE,Staten Island,10304,MON/WED,3-4PM/12-1PM
454,FP,STAPLETON U.A.M.E. CHURCH,(718) 273-2857,49 TOMPKINS AVE,Staten Island,10304,"TUE,FRI",10AM-1PM
455,FP,STATEN ISLAND SDA CHURCH,(718) 442-4806,80 UNION AVE,Staten Island,10303,SUN,10AM-2PM
456,FP,TABERNACLE OF PRAYER,(718) 657-4210,90-07 MERRICK BLVD,Queens,11432,FRI,10-11:30AM
457,FP,TAURUS ASSOCIATES INC.,718-526-2177,240-08 135TH AVENUE,Queens,11422,WED,3-5PM
458,SK,TEMPLE SHAARAY TEFILA,(212) 535-8008,250 EAST 79TH STREET,New York,10075,WED,12-1PM
459,FP,THE CAMPAIGN AGAINST HUNGER,718-773-3551,2004 FULTON STREET,Brooklyn,11233,MON/TUE-FRI,10AM-3PM/10AM-6PM
460,FP,THE CHURCH OF ST. MARK,(718) 756-6607,1417 UNION STREET,Brooklyn,11213,"MON(1,2,3,4)",5-7:30PM
461,FPH,THE COMMUNITY FOOD PANTRY,718-960-2262,1363 OGDEN AVE,The Bronx,10452,TUE/THUR/1ST SAT,10AM-12PM/1-3PM/10AM-12PM
462,FP,THE FLOW KINGDOM MINISTRIES,347-431-4326,901 EAST TREMONT AVENUE,The Bronx,10469,MON,5-7PM
463,FP,THE GRACE OF GOD MINISTRIES-CHURCH INC,347-697-7843,963 EAST 233RD STREET,The Bronx,10466,SAT,9-10AM
464,FP,"THE HARDING FORD VIStaten IslandON, INC",718-291-9281,"157-22 TUSKEGEE AIRMEN WAY, JAMAICA",Queens,11433,WED/SAT,10AM-12PM/2-4PM
465,SK,"THE HARDING FORD VIStaten IslandON, INC",718-291-9281,"157-22 TUSKEGEE AIRMEN WAY, JAMAICA",Queens,11433,WED,10AM-12PM
466,FP,THE LEGACY CENTER COMMUNITY DEVELOPMENT CORP,718-456-4852,71-02 CYPRESS HILL STREET (GLENDALE),Queens,11385,FRI,10AM-1PM
467,FP,THE SALVATION ARMY ASTORIA CORPS,(718) 721-9046,45-18 BROADWAY,Queens,11103,"WED (2,4)",9:30-11:30AM
469,FP,THE SALVATION ARMY BEDFORD TEMPLE CORPS,(718) 622-9020,601 LAFAYETTE AVENUE,Brooklyn,11216,WED,10AM-12PM
470,FP,THE SALVATION ARMY BRONX CITADEL,(718) 665-8472,425 EAST 159TH STREET,The Bronx,10451,"TUE(1,2,3,4)",10AM-12:30PM
471,SK,THE SALVATION ARMY BRONX CITADEL,(718) 665-8472,425 EAST 159TH STREET,The Bronx,10451,"MON,WED,FRI",1-2PM
472,SK,THE SALVATION ARMY BUSHWICK CORPS,(718) 455-4102,1151 BUSHWICK AVENUE,Brooklyn,11221,"M,TU,TH,FRI",12:30-2PM
473,FP,THE SALVATION ARMY BUSHWICK CORPS,(718) 455-4102,1151 BUSHWICK AVENUE,Brooklyn,11221,"M,TU,TH,FRI",10AM-12PM
474,FP,THE SALVATION ARMY JAMAICA CITADEL CORPS,(718) 297-4860,90-23 161ST STREET,Queens,11432,THUR,10-11AM
475,SK,THE SALVATION ARMY JAMAICA CITADEL CORPS,(718) 297-4860,90-23 161ST STREET,Queens,11432,MON-WED,12PM-1PM
476,FP,THE SALVATION ARMY MANHATTAN CITADEL,(212) 860-3200,175 EAST 125TH STREET,New York,10035,MON-FRI,9AM-3PM
477,FP,THE SALVATION ARMY NEW YORK TEMPLE CORPS,212-337-7467,132 WEST 14TH STREET (GROUND FLOOR),New York,10011,MON-FRI,9:30-11AM & 1:30-3PM
478,FP,THE SALVATION ARMY QUEENS TEMPLE CORP,(718) 335-3693,86-07 35TH AVENUE,Queens,11372,WED,10-11:30AM
479,FP,THE SALVATION ARMY STAPLETON CORPS,(718) 448-8480,15 BROAD STREET,Staten Island,10304,TUE-THUR,12:30-2:30PM
480,SK,THE SALVATION ARMY STAPLETON CORPS,(718) 448-8480,15 BROAD STREET,Staten Island,10304,"MON,FRI",11:30AM-12:30PM
481,FP,THE SALVATION ARMY SUNSET PARK CORPS,(718) 438-1771,520 50TH STREET,Brooklyn,11220,TUE,10AM-12PM
482,SK,THE SALVATION ARMY SUNSET PARK CORPS,(718) 438-1771,520 50TH STREET,Brooklyn,11220,MON-FRI,12-1PM
483,SK,THE SALVATION ARMY TEMPLE CORP.,(718) 335-3693,86-07 35TH AVENUE,Queens,11372,MON-FRI,12-1PM
484,FP,THE TABLE AT THE FAMILY SUPPORT CENTER AT New YorkU LAN,7O1N8E-630-7171,6025 6TH AVENUE,Brooklyn,11220,FRI,10AM-2PM
485,FP,THESSALONIA BAPTIST CHURCH,(718) 542-0828,951 REV. JAMES POLITE AVE,The Bronx,10459,TUE,10:30-11:30AM
486,FP,THORPE FAMILY REStaten IslandDENCE,718-295-2550,406 EAST 184TH STREET,The Bronx,10458,WED,8:30-9:30AM
487,SK,THURSTON MEMORIAL OUTREACH MINISTRIES,(718) 452-3646,1243 BUSHWICK AVENUE,Brooklyn,11221,FRI,5-7:30PM
488,FP,THURSTON MEMORIAL OUTREACH MINISTRIES,(718) 452-3646,1243 BUSHWICK AVE,Brooklyn,11221,FRI,5-7:30PM
489,FP,TOLENTINE ZEISER COMMUNITY LIFE,(718) 220-2824,2345 UNIVERStaten IslandTY AVE (BASEMENT FORDHAM RD ENT.),The Bronx,10468,WED,9AM-12:30PM
490,FPK,TOMCHE SHABBOS OF BORO PARK,(718) 259-5576,6225 NEW UTRECHT AVE,Brooklyn,11219,THUR,3-5PM
491,FP,TRANSFIGURATION CHURCH,718-782-8181,263 & 280 MARCY AVENUE,Brooklyn,11211,MON-THUR,9AM-12PM
492,FP,TRINITY HUMAN SERVICE CORPORATION,(718) 388-3176,153 A JOHNSON AVENUE,Brooklyn,11206,TUE-FRI,9AM-12PM&1-4PM
493,FP,"TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC.",(212) 228-5254,602 EAST 9TH STREET,New York,10009,MON-THUR,12:30-1:30PM
494,SK,"TRINITY'S SERVICES AND FOOD FOR THE HOMELESS, INC.",(212) 228-5254,602 EAST 9TH STREET,New York,10009,MON-FRI,11AM-12PM
495,FP,TRIUMPHANT FULL GOSPEL ASSEMBLY,718-774-4696,889 RUTLAND ROAD,Brooklyn,11203,THUR,4-6PM
496,FP,TRUE HOLY CHURCH OF GOD IN CHRIST JESUS,(718) 385-0248,2364 ATLANTIC AVENUE,Brooklyn,11233,SAT,10AM-12PM
497,FPK,UJC OF THE EAST Staten IslandDE,212-475-3857,15 WILLETT STREET,New York,10002,FRI,9:30-11:30AM
498,FP,UNION BAPTIST CHURCH,(718) 452-7248,461 DECATUR STREET,Brooklyn,11233,WED,12-2PM
499,FP,UNION GROVE BAPTIST CHURCH,718-328-1444,1488 HOE AVENUE,The Bronx,10460,WED,9-11AM
500,SKM,"UNITED BRONX PARENTS, INC.",(718) 991-7100,603 PROSPECT AVENUE,The Bronx,10455,MON-FRI,2:30-4PM
501,FP,"UNITED CHURCH OF PRAISE INTERNATIONAL MINISTRIES, I",7C18-314-8779,32 SANDS STREET,Staten Island,10304,"FRI,SUN",1-3PM
502,SK,UNITED COMMUNITY BAPTIST CHURCH,347-446-6254,545 UTICA AVE,Brooklyn,11203,SAT,10AM-12PM
503,SK,UNITED METHODIST CENTER IN FAR ROCKAWAY,(718) 327-5071,1032 BEACH 19TH STREET (NEAR MOTT AVE),Queens,11691,MON-FRI,1-2PM & 5-9PM
504,FP,UNITED METHODIST CENTER IN FAR ROCKAWAY,(718) 327-5071,1032 BEACH 19TH STREET (NEAR MOTT AVE),Queens,11691,"TUE,THUR",9-10AM
505,SK,"UNIVERStaten IslandTY COMMUNITY SOCIAL SERVICES, INC",347-850-2230,137 EAST 2ND STREET,New York,10009,SAT,8AM-12PM&1-2:30PM
506,FP,UPPER MANHATTAN MENTAL HEALTH CENTER,(212) 694-9200,1727 AMSTERDAM AVE @ 145TH,New York,10031,"TUE,WED,THUR",1:30-3:30PM
508,FP,URBAN STRATEGIES INC,(718) 346-2539,61-71 RIVERDALE AVENUE,Brooklyn,11212,TUE,8-10AM
509,FP,V.E.T.S. INC,718-206-2376,111-16 173RD STREET,Queens,11433,FRI,10AM-12PM
510,FP,"VETS INC, HOLLIS GARDENS",646-261-1973,202-14 HOLLIS AVENUE,Queens,11429,THUR,3-5PM
511,FP,VFW #5298,516-582-5426,143-17 SPRINGFIELD BLVD,Queens,11413,WED,5-7PM
512,FP,VINEYARD INTERNATIONAL CHRISTIAN MINISTRIES,718-538-9211,1140 TELLER AVE,The Bronx,10456,SAT,10AM-12PM
513,FP,VIStaten IslandON URBANA,646-626-9748,66 ESSEX STREET,New York,10002,"MON,TUE",10AM-12PM
514,FP,"WAY OUT CHURCH MINISTRIES, INC",718-665-8069,520 EAST 148TH STREET,The Bronx,10455,"TUE,THUR",8-10AM
515,FP,WEST HARLEM GROUP ASStaten IslandSTANCE,212-690-7900,625 LENOX AVE,New York,10031,WED/THUR,10AM-12PM&1:30-3PM/10AM-12
516,FP,WESTStaten IslandDE CAMPAIGN AGAINST HUNGER,(212) 362-3662,263 W. 86th St.@ WEST END AVE.,New York,10024,MON/WED-FRI,8A-12P&1-6P/8A-12P&1-3P
517,FP,WHEDCO - FOOD PANTRY,718-839-1100,50 EAST 168TH STREET,The Bronx,10452,WED,9:30-10:30AM
518,FP,WHOSOEVER WILL BAPTIST CHURCH,347-528-0013,1651 POPHAM AVENUE,The Bronx,10453,"SAT(1,2,3,4)",9-11AM
519,SK,WOODYCREST UNITED METHODIST CHURCH,718-538-7500,89 WEST 166TH STREET,The Bronx,10452,WED,12-2PM
520,FP,WORD OF LIFE CHRISTIAN FELLOWSHIP,718-861-5678,830 UNION AVENUE,The Bronx,10459,THUR(SR)/ SAT,11AM-4PM/10AM-4PM
521,FP,WORLDWIDE MISStaten IslandONARY MOVEMENT/CENTRO EVANGELI,"T21IC2O-5 6M7M-5M62, 0INC",148 POST AVE,New York,10034,SAT,9AM-1PM
522,SK,XAVIER MISStaten IslandON INC,(212) 627-2100,55 WEST 15TH STREET,New York,10011,SUN,12:30-3PM
523,FPK,ZICHRON ACHEINU LEVY-MENACHEM TZION,347-742-0552,928 44TH STREET,Brooklyn,11219,FRI,11:30AM-12:30PM
